Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/ask,58,0,54000,45802.32459655209,4.728600004455075,66105.42789999454,5105.068965517241,0.19423098684588672,0.0,54000,56000,57000,58000,60000,66000,66000,66000,66000,66000,66000
,Aggregated,58,0,54000,45802.32459655209,4.728600004455075,66105.42789999454,5105.068965517241,0.19423098684588672,0.0,54000,56000,57000,58000,60000,66000,66000,66000,66000,66000,66000
