Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/ask,11,0,43000,35191.291481820044,158.11099999700673,51574.81600000756,4532.363636363636,0.20154570516171708,0.0,43000,43000,47000,47000,50000,52000,52000,52000,52000,52000,52000
,Aggregated,11,0,43000,35191.291481820044,158.11099999700673,51574.81600000756,4532.363636363636,0.20154570516171708,0.0,43000,43000,47000,47000,50000,52000,52000,52000,52000,52000,52000
